"","DAX","SMI","CAC","FTSE","expectedprob","actualprob","residual"
"1",1628.75,1678.1,1772.8,2443.6,1487.6341327549,1628.75,141.115867245097
"2",1613.63,1688.5,1750.5,2460.2,1481.4203210356,1613.63,132.209678964401
"3",1606.51,1678.6,1718,2448.2,1460.63955921725,1606.51,145.870440782746
"4",1621.04,1684.1,1708.1,2470.4,1458.0609356707,1621.04,162.979064329297
"5",1618.16,1686.6,1723.1,2484.7,1466.48167546851,1618.16,151.678324531492
"6",1610.61,1671.6,1714.3,2466.8,1455.03626544904,1610.61,155.573734550956
"7",1630.75,1682.9,1734.5,2487.9,1470.25382287832,1630.75,160.496177121677
"8",1640.17,1703.6,1757.4,2508.4,1491.45202630678,1640.17,148.71797369322
"9",1635.47,1697.5,1754,2510.5,1486.72476714717,1635.47,148.74523285283
"10",1645.89,1716.3,1754.3,2497.4,1496.36293616119,1645.89,149.52706383881
"11",1647.84,1723.8,1759.8,2532.5,1502.18101148622,1647.84,145.658988513775
"12",1638.35,1730.5,1755.5,2556.8,1502.93325032591,1638.35,135.416749674094
"13",1629.93,1727.4,1758.1,2561,1502.6221051258,1629.93,127.307894874202
"14",1621.49,1733.3,1757.5,2547.3,1505.4677452265,1621.49,116.022254773505
"15",1624.74,1734,1763.5,2541.5,1508.8863838005,1624.74,115.853616199498
"16",1627.63,1728.3,1762.8,2558.5,1505.43817953837,1627.63,122.191820461633
"17",1631.99,1737.1,1768.9,2587.9,1512.29230607452,1631.99,119.697693925477
"18",1621.18,1723.1,1778.1,2580.5,1510.08080883849,1621.18,111.099191161515
"19",1613.42,1723.6,1780.1,2579.6,1511.33398491036,1613.42,102.086015089639
"20",1604.95,1719,1767.7,2589.3,1502.75426003519,1604.95,102.195739964811
"21",1605.75,1721.2,1757.9,2595,1498.88289687042,1605.75,106.867103129579
"22",1616.67,1725.3,1756.6,2595.6,1500.24859161082,1616.67,116.421408389184
"23",1619.29,1727.2,1754.7,2588.8,1500.36009460223,1619.29,118.929905397768
"24",1620.49,1727.2,1766.8,2591.7,1506.30761779518,1620.49,114.182382204823
"25",1619.67,1731.6,1766.5,2601.7,1508.15509324996,1619.67,111.514906750044
"26",1623.07,1724.1,1762.2,2585.4,1502.60839297095,1623.07,120.46160702905
"27",1613.98,1716.9,1759.5,2573.3,1497.93031937001,1613.98,116.049680629993
"28",1631.87,1723.4,1782.4,2597.4,1512.06922730461,1631.87,119.800772695388
"29",1630.37,1723,1789.5,2600.6,1515.33621186848,1630.37,115.033788131523
"30",1633.47,1728.4,1783.5,2570.6,1515.53933830615,1633.47,117.930661693847
"31",1626.55,1722.1,1780.4,2569.4,1510.91898952051,1626.55,115.63101047949
"32",1650.43,1724.5,1808.8,2584.9,1525.91156968548,1650.43,124.518430314518
"33",1650.06,1733.6,1820.3,2608.8,1535.68467283144,1650.06,114.375327168556
"34",1654.11,1739,1820.3,2617.2,1538.20114088974,1654.11,115.908859110258
"35",1653.6,1726.2,1820.3,2621,1531.82828602575,1653.6,121.771713974254
"36",1501.82,1587.4,1687.5,2540.5,1398.99348606101,1501.82,102.82651393899
"37",1524.28,1630.6,1725.6,2554.5,1438.92481990157,1524.28,85.3551800984337
"38",1603.65,1685.5,1792.9,2601.9,1498.52011177555,1603.65,105.129888224447
"39",1622.49,1701.3,1819.1,2623,1518.92906707537,1622.49,103.560932924627
"40",1636.68,1718,1833.5,2640.7,1533.99129166409,1636.68,102.68870833591
"41",1652.1,1726.2,1853.4,2640.7,1547.89553452252,1652.1,104.204465477475
"42",1645.81,1716.6,1849.7,2619.8,1541.69053689278,1645.81,104.119463107216
"43",1650.36,1725.8,1851.8,2624.2,1547.18922300395,1650.36,103.170776996054
"44",1651.55,1737.4,1857.7,2638.2,1555.58890164249,1651.55,95.9610983575067
"45",1649.88,1736.6,1864.3,2645.7,1558.33697908922,1649.88,91.5430209107844
"46",1653.52,1732.4,1863.5,2679.6,1555.28764333385,1653.52,98.2323566661519
"47",1657.51,1731.2,1873.2,2669,1559.68650627579,1657.51,97.8234937242109
"48",1649.55,1726.9,1860.8,2664.6,1551.4971702012,1649.55,98.0528297987987
"49",1649.09,1727.8,1868.7,2663.3,1555.87869357418,1649.09,93.211306425824
"50",1646.41,1720.2,1860.4,2667.4,1547.9491672082,1646.41,98.4608327917958
"51",1638.65,1715.4,1855.9,2653.2,1543.59769572999,1638.65,95.0523042700108
"52",1625.8,1708.7,1840.5,2630.8,1533.04839227454,1625.8,92.7516077254577
